# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ZCZWAYJMXW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,70,17
# x,y,z,u,w
0.000000000000000000e+00, 3.020000000000000462e-02, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
-3.238150488490039499e-17, 2.782516411964587599e-02, -1.175049235893763436e-02, 1.000000000000000000e+00, 2.500000000000000000e-01
-3.700743415417188263e-17, 2.135043765238897606e-02, -2.135043765238901423e-02, 1.000000000000000000e+00, 5.000000000000000000e-01
-4.625929269271485328e-18, 1.175049235893763089e-02, -2.782516411964587946e-02, 1.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, -8.217301096052205850e-33, -3.020000000000000462e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.850371707708594131e-17, -1.175049235893762915e-02, -2.782516411964586558e-02, 1.000000000000000000e+00, 1.250000000000000000e+00
-3.700743415417188263e-17, -2.135043765238901423e-02, -2.135043765238901423e-02, 1.000000000000000000e+00, 1.500000000000000000e+00
-3.238150488490039499e-17, -2.782516411964587946e-02, -1.175049235893762915e-02, 1.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, -3.020000000000000462e-02, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
-4.625929269271485328e-18, -2.782516411964587946e-02, 1.175049235893762395e-02, 1.000000000000000000e+00, 2.250000000000000000e+00
-3.700743415417188263e-17, -2.135043765238901423e-02, 2.135043765238897606e-02, 1.000000000000000000e+00, 2.500000000000000000e+00
-4.625929269271485328e-18, -1.175049235893763436e-02, 2.782516411964585865e-02, 1.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.019999999999996645e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 1.175049235893763089e-02, 2.782516411964585518e-02, 1.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 2.135043765238897606e-02, 2.135043765238897606e-02, 1.000000000000000000e+00, 3.500000000000000000e+00
-4.625929269271485328e-18, 2.782516411964587599e-02, 1.175049235893763089e-02, 1.000000000000000000e+00, 3.750000000000000000e+00
-3.700743415417188263e-17, 3.020000000000000462e-02, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.551987278305597996e-02, 4.183973000033516798e-02, 1.588681722890381768e-04, 1.019053119825940268e+00, 0.000000000000000000e+00
1.553180618278995027e-02, 3.863896173088978564e-02, -1.623770008682907245e-02, 1.019053119825940268e+00, 2.500000000000000000e-01
1.502395171331582548e-02, 3.003388462592584268e-02, -2.994249716817851473e-02, 1.019053119825940268e+00, 5.000000000000000000e-01
1.438860921180575361e-02, 1.659298773538258470e-02, -3.969392760384015534e-02, 1.019053119825940268e+00, 7.500000000000000000e-01
1.407409147964840991e-02, 3.564564824693156296e-18, -4.344337569496711793e-02, 1.019053119825940268e+00, 1.000000000000000000e+00
1.438860921180574320e-02, -1.659298773538257776e-02, -3.969392760384014146e-02, 1.019053119825940268e+00, 1.250000000000000000e+00
1.502395171331582721e-02, -3.003388462592587738e-02, -2.994249716817851473e-02, 1.019053119825940268e+00, 1.500000000000000000e+00
1.553180618278994507e-02, -3.863896173088978564e-02, -1.623770008682906552e-02, 1.019053119825940268e+00, 1.750000000000000000e+00
1.551987278305597476e-02, -4.183973000033516798e-02, 1.588681722890392610e-04, 1.019053119825940268e+00, 2.000000000000000000e+00
1.474433647006179703e-02, -3.937606102289054055e-02, 1.690629429909869946e-02, 1.019053119825940268e+00, 2.250000000000000000e+00
1.348920045765433090e-02, -3.110602905065425194e-02, 3.133243714004926850e-02, 1.019053119825940268e+00, 2.500000000000000000e+00
1.222311235610095900e-02, -1.733008702738334655e-02, 4.172097741977826707e-02, 1.019053119825940268e+00, 2.750000000000000000e+00
1.163558705381617826e-02, -7.086790287663561927e-18, 4.573704746306295893e-02, 1.019053119825940268e+00, 3.000000000000000000e+00
1.222311235610095206e-02, 1.733008702738332921e-02, 4.172097741977824625e-02, 1.019053119825940268e+00, 3.250000000000000000e+00
1.348920045765435172e-02, 3.110602905065420337e-02, 3.133243714004926156e-02, 1.019053119825940268e+00, 3.500000000000000000e+00
