case,case_index,case_count,Vv,tip_deflection,case_dir,passed,vtail_input_vsp3_path,vtail_output_vsp3_path,vtail_vtail_name,vtail_wing_reference_source,vtail_vv_target,vtail_vv_actual,vtail_xcg,vtail_lv_original,vtail_lv_actual,vtail_wing_area,vtail_wing_span,vtail_wing_section_area,vtail_wing_section_span,vtail_vtail_area_scale_mode,vtail_area_ratio,vtail_span_scale,vtail_chord_scale,vtail_scale,vtail_area_before,vtail_area_target,vtail_area_after,vtail_span_before,vtail_span_after,vtail_aspect_ratio_before,vtail_aspect_ratio_after,vtail_x_ac_original,vtail_x_ac_target,vtail_x_ac_before_shift,vtail_x_ac_after,vtail_x_shift,vtail_x_location_original,vtail_x_location_before_shift,vtail_x_location_after,vsp3_path,wing_dihedral_update_count,stab_path,vspaero_passed,vspaero_wall_elapsed_s,vspaero_read_vsp3_elapsed_s,vspaero_compute_geometry_elapsed_s,vspaero_compute_geometry_analysis_duration_s,vspaero_vspaero_sweep_elapsed_s,vspaero_vspaero_sweep_analysis_duration_s,vspaero_result_extraction_elapsed_s,vspaero_total_elapsed_s,Gamma_eff_rad,Gamma_eff_deg,CL_alpha,Cl_beta,Cn_beta,CY_beta,CY_p,CY_r,Cl_p,Cl_r,Cn_p,Cn_r,Cl_delta_r,Cn_delta_r,CY_delta_r,spiral_margin,beta_per_delta_r_yaw_static,delta_r_per_beta_yaw_static,p_hat_per_delta_r_beta_only,control_column_delta_a,control_column_delta_e,control_column_delta_r,control_groups,Sref,Bref,Cref,Xcg,Ycg,Zcg,AoA_deg,Beta_deg,Mach,Rho,Vinf,turn_trim_mode,turn_trim_passed,coupled_gain_matrix_det,coupled_gain_solved,beta_per_delta_r_coupled,p_hat_per_delta_r_coupled,r_hat_per_delta_r_coupled,elapsed_s
vv_0p00050_wtip_0p12500,1,42,0.0005,0.125,vv_gamma_cases\vv_0p00050_wtip_0p12500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00050_wtip_0p12500\vv_0p00050_wtip_0p12500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0005,0.0005000000000000001,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.13455149501661134,0.36681261567265017,0.36681261567265017,0.36681261567265017,0.4,0.053820598006644536,0.05382059800664455,0.8,0.29345009253812016,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.772532838526346,5.914999999999999,0.14246716147365301,5.6899999999999995,5.6899999999999995,5.8324671614736525,vv_gamma_cases\vv_0p00050_wtip_0p12500\vv_0p00050_wtip_0p12500.vsp3,4,vv_gamma_cases\vv_0p00050_wtip_0p12500\vv_0p00050_wtip_0p12500.stab,True,237.49307720002253,0.14801119995536283,0.2667649000068195,0.267,237.07475779997185,237.074,0.0008368999697268009,237.4922949000029,0.012469136262569888,0.7144288820187836,6.0029488,-0.015884,-0.0015844,0.0144677,-0.0470451,0.0129192,-0.7718087,0.2224592,-0.0875338,-0.006666,0.0014853,-0.0006182,0.0044952,0.00045834710048,-0.3901792476647311,-2.5629246198641216,0.0099544189770167,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.000379887082837978,True,-0.2864565281985161,0.00014921255797144338,-0.026612574096794447,237.9294673000113
vv_0p00050_wtip_0p37500,2,42,0.0005,0.375,vv_gamma_cases\vv_0p00050_wtip_0p37500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00050_wtip_0p37500\vv_0p00050_wtip_0p37500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0005,0.0005000000000000001,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.13455149501661134,0.36681261567265017,0.36681261567265017,0.36681261567265017,0.4,0.053820598006644536,0.05382059800664455,0.8,0.29345009253812016,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.772532838526346,5.914999999999999,0.14246716147365301,5.6899999999999995,5.6899999999999995,5.8324671614736525,vv_gamma_cases\vv_0p00050_wtip_0p37500\vv_0p00050_wtip_0p37500.vsp3,4,vv_gamma_cases\vv_0p00050_wtip_0p37500\vv_0p00050_wtip_0p37500.stab,True,232.00035439996282,0.14996159996371716,0.274397500033956,0.274,231.57232959999237,231.572,0.0007878000033088028,231.99960919999285,0.033387296018234716,1.9129511511987876,5.9984297,-0.0424989,-0.0050708,0.0103628,-0.1010322,0.0287734,-0.7728176,0.2230545,-0.0876295,-0.0066805,0.0014512,-0.0006176,0.0045977,0.00141497866005,-0.12179537745523389,-8.210492227979275,0.008575593473715193,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.00039341181042559315,True,-0.27744612759954335,0.010705291028440315,-0.022277595441201403,232.44236629997613
vv_0p00050_wtip_0p62500,3,42,0.0005,0.625,vv_gamma_cases\vv_0p00050_wtip_0p62500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00050_wtip_0p62500\vv_0p00050_wtip_0p62500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0005,0.0005000000000000001,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.13455149501661134,0.36681261567265017,0.36681261567265017,0.36681261567265017,0.4,0.053820598006644536,0.05382059800664455,0.8,0.29345009253812016,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.772532838526346,5.914999999999999,0.14246716147365301,5.6899999999999995,5.6899999999999995,5.8324671614736525,vv_gamma_cases\vv_0p00050_wtip_0p62500\vv_0p00050_wtip_0p62500.vsp3,4,vv_gamma_cases\vv_0p00050_wtip_0p62500\vv_0p00050_wtip_0p62500.stab,True,223.66347950004274,0.16660029999911785,0.2843264000257477,0.284,223.2089932000381,223.209,0.0008290000259876251,223.66262389998883,0.055117256205143225,3.157986158895955,5.994753,-0.0701161,-0.0086469,0.0020247,-0.1550622,0.0446923,-0.7737408,0.223519,-0.0876789,-0.0066842,0.0015915,-0.0006172,0.0047263,0.0024014164767200002,-0.07137818177612786,-14.009883344134803,0.008525154329761541,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.0003982631612644961,True,-0.2742711267334608,0.021450415575469492,-0.018903359631439763,224.1400919999578
vv_0p00050_wtip_0p87500,4,42,0.0005,0.875,vv_gamma_cases\vv_0p00050_wtip_0p87500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00050_wtip_0p87500\vv_0p00050_wtip_0p87500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0005,0.0005000000000000001,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.13455149501661134,0.36681261567265017,0.36681261567265017,0.36681261567265017,0.4,0.053820598006644536,0.05382059800664455,0.8,0.29345009253812016,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.772532838526346,5.914999999999999,0.14246716147365301,5.6899999999999995,5.6899999999999995,5.8324671614736525,vv_gamma_cases\vv_0p00050_wtip_0p87500\vv_0p00050_wtip_0p87500.vsp3,4,vv_gamma_cases\vv_0p00050_wtip_0p87500\vv_0p00050_wtip_0p87500.stab,True,225.02578629995696,0.15146860003005713,0.2774794999859296,0.277,224.59320909995586,224.593,0.0009071999811567366,225.02498509996803,0.07797859154532408,4.467844187921593,5.9874588,-0.0990779,-0.0109547,-0.0107526,-0.2091027,0.0606124,-0.7745798,0.2237896,-0.0876249,-0.0067462,0.0014314,-0.0006116,0.004802,0.0031199472600999998,-0.05582991775219769,-17.911543492478742,0.008989275227756348,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.0003972528316680096,True,-0.2757484901975057,0.029519114005122308,-0.026306280160805554,225.4908910000231
vv_0p00050_wtip_1p12500,5,42,0.0005,1.125,vv_gamma_cases\vv_0p00050_wtip_1p12500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00050_wtip_1p12500\vv_0p00050_wtip_1p12500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0005,0.0005000000000000001,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.13455149501661134,0.36681261567265017,0.36681261567265017,0.36681261567265017,0.4,0.053820598006644536,0.05382059800664455,0.8,0.29345009253812016,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.772532838526346,5.914999999999999,0.14246716147365301,5.6899999999999995,5.6899999999999995,5.8324671614736525,vv_gamma_cases\vv_0p00050_wtip_1p12500\vv_0p00050_wtip_1p12500.vsp3,4,vv_gamma_cases\vv_0p00050_wtip_1p12500\vv_0p00050_wtip_1p12500.stab,True,213.05667440005345,0.14994649996515363,0.26063340000109747,0.26,212.64244079997297,212.642,0.000813000020571053,213.0559047999559,0.09973815498024678,5.714575336789853,5.975759,-0.1264775,-0.0138899,-0.0275205,-0.2631036,0.076513,-0.7752734,0.2239523,-0.0875693,-0.006718,0.0014279,-0.0006139,0.0048999,0.00396035089677,-0.044197582416000115,-22.625671933539664,0.009052161121508431,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.0003824291893360878,True,-0.28575135046689015,0.04044314186876222,-0.027749321285820486,213.5274991999613
vv_0p00050_wtip_1p37500,6,42,0.0005,1.375,vv_gamma_cases\vv_0p00050_wtip_1p37500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00050_wtip_1p37500\vv_0p00050_wtip_1p37500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0005,0.0005000000000000001,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.13455149501661134,0.36681261567265017,0.36681261567265017,0.36681261567265017,0.4,0.053820598006644536,0.05382059800664455,0.8,0.29345009253812016,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.772532838526346,5.914999999999999,0.14246716147365301,5.6899999999999995,5.6899999999999995,5.8324671614736525,vv_gamma_cases\vv_0p00050_wtip_1p37500\vv_0p00050_wtip_1p37500.vsp3,4,vv_gamma_cases\vv_0p00050_wtip_1p37500\vv_0p00050_wtip_1p37500.stab,True,211.25277979997918,0.14680380001664162,0.2658394000027329,0.265,210.83663020003587,210.837,0.0007903000223450363,211.25200870004483,0.12253141232443021,7.020532783967131,5.9562941,-0.1548754,-0.0172709,-0.0485859,-0.3170034,0.0923268,-0.7754127,0.2239613,-0.0874759,-0.0067268,0.0014181,-0.0006137,0.0050057,0.00490982905689,-0.035533759097672965,-28.14225191461626,0.008926092071687425,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.0003655329065389653,True,-0.29911275047679703,0.0540441212514521,-0.026061685195068393,211.73687700001756
vv_0p00050_wtip_1p62500,7,42,0.0005,1.625,vv_gamma_cases\vv_0p00050_wtip_1p62500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00050_wtip_1p62500\vv_0p00050_wtip_1p62500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0005,0.0005000000000000001,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.13455149501661134,0.36681261567265017,0.36681261567265017,0.36681261567265017,0.4,0.053820598006644536,0.05382059800664455,0.8,0.29345009253812016,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.772532838526346,5.914999999999999,0.14246716147365301,5.6899999999999995,5.6899999999999995,5.8324671614736525,vv_gamma_cases\vv_0p00050_wtip_1p62500\vv_0p00050_wtip_1p62500.vsp3,4,vv_gamma_cases\vv_0p00050_wtip_1p62500\vv_0p00050_wtip_1p62500.stab,True,207.26863559999038,0.1517071999842301,0.2630903000244871,0.263,206.85028010001406,206.85,0.0008153000380843878,207.2678436000133,0.14455006765560938,8.282108804996927,5.9379203,-0.1821426,-0.0203888,-0.0735496,-0.3708118,0.1081071,-0.7755593,0.2238669,-0.0873254,-0.0067358,0.0014672,-0.0006126,0.0051246,0.0057912535758,-0.03004590755709017,-33.28240287300032,0.008948174203839799,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,0.00033544917262563165,True,-0.3247238479224196,0.07077383877017057,-0.025568483271478534,207.75254519999726
vv_0p00150_wtip_0p12500,8,42,0.0015,0.125,vv_gamma_cases\vv_0p00150_wtip_0p12500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00150_wtip_0p12500\vv_0p00150_wtip_0p12500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0015,0.0014999999999999998,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.403654485049834,0.6353380872022658,0.6353380872022658,0.6353380872022658,0.4,0.1614617940199336,0.16146179401993357,0.8,0.5082704697618127,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.83295106962051,5.914999999999999,0.08204893037948935,5.6899999999999995,5.6899999999999995,5.772048930379489,vv_gamma_cases\vv_0p00150_wtip_0p12500\vv_0p00150_wtip_0p12500.vsp3,4,vv_gamma_cases\vv_0p00150_wtip_0p12500\vv_0p00150_wtip_0p12500.stab,True,221.6269433000125,0.14542549999896437,0.27763020002748817,0.277,221.2001053999993,221.199,0.0007908999687060714,221.62607880000724,0.013444812146310024,0.7703309923297902,5.9981541,-0.0171132,0.0010308,-0.0021514,-0.0464849,0.0186495,-0.7717991,0.2226937,-0.0876233,-0.007589,0.0020482,-0.0025872,0.0165129,-9.968059115999999e-05,2.5098952270081494,0.39842300556586263,-0.05299842795727005,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-1.641319399782326e-05,True,24.639411353176968,0.07471171926623027,2.143183269478738,222.08849799999734
vv_0p00150_wtip_0p37500,9,42,0.0015,0.375,vv_gamma_cases\vv_0p00150_wtip_0p37500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00150_wtip_0p37500\vv_0p00150_wtip_0p37500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0015,0.0014999999999999998,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.403654485049834,0.6353380872022658,0.6353380872022658,0.6353380872022658,0.4,0.1614617940199336,0.16146179401993357,0.8,0.5082704697618127,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.83295106962051,5.914999999999999,0.08204893037948935,5.6899999999999995,5.6899999999999995,5.772048930379489,vv_gamma_cases\vv_0p00150_wtip_0p37500\vv_0p00150_wtip_0p37500.vsp3,4,vv_gamma_cases\vv_0p00150_wtip_0p37500\vv_0p00150_wtip_0p37500.stab,True,200.53454269998474,0.1478664000169374,0.30607699998654425,0.306,200.07711360004032,200.077,0.00088900001719594,200.53375220001908,0.035947170491503554,2.0596211546003667,5.9986158,-0.0457588,-0.0023494,-0.0065821,-0.1004664,0.0344882,-0.7727966,0.2232872,-0.0877183,-0.0075999,0.0019355,-0.0025859,0.0166358,0.0008723532518000001,-1.1006639993189749,-0.9085424803743379,0.06767701075811812,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-4.120540523703481e-06,True,98.35981237553551,-3.3923297670688632,8.407604970011915,201.02132800000254
vv_0p00150_wtip_0p62500,10,42,0.0015,0.625,vv_gamma_cases\vv_0p00150_wtip_0p62500,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_gamma_cases\vv_0p00150_wtip_0p62500\vv_0p00150_wtip_0p62500_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.0015,0.0014999999999999998,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.403654485049834,0.6353380872022658,0.6353380872022658,0.6353380872022658,0.4,0.1614617940199336,0.16146179401993357,0.8,0.5082704697618127,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.83295106962051,5.914999999999999,0.08204893037948935,5.6899999999999995,5.6899999999999995,5.772048930379489,vv_gamma_cases\vv_0p00150_wtip_0p62500\vv_0p00150_wtip_0p62500.vsp3,4,vv_gamma_cases\vv_0p00150_wtip_0p62500\vv_0p00150_wtip_0p62500.stab,True,217.2529027000419,0.14967489999253303,0.26879230001941323,0.269,216.8306891999673,216.83,0.0008491000044159591,217.25187179999193,0.05585124252454451,3.2000404772179896,5.9925067,-0.0710232,-0.0059928,-0.0145658,-0.1544936,0.0504182,-0.7737332,0.2237278,-0.0877674,-0.0076015,0.0019324,-0.0025719,0.0167635,0.00188063881464,-0.42916499799759705,-2.330106147206346,0.041891793561117614,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,none,,-6.34325493105874e-07,True,639.2758074740083,-47.13650305550032,39.916379562333944,217.73135990003357
