case,case_index,case_count,Vv,tip_deflection,case_dir,vsp3_path,deflection_csv_path,stab_path,passed,vspaero_passed,error,postprocess_passed,postprocess_error,sixdof_success,sixdof_message,sixdof_roll_response_reached,sixdof_target_delta_phi,sixdof_target_delta_phi_deg,sixdof_stop_at_target_delta_phi,sixdof_stopped_at_target_delta_phi,sixdof_phi0,sixdof_phi_final,sixdof_phi_delta_final,sixdof_t_start,sixdof_t_final,sixdof_t_reach,sixdof_dt_reach,sixdof_delta_r,sixdof_metric_Vinf,sixdof_metric_Bref,sixdof_roll_response_phi_rate,sixdof_roll_response_phi_rate_per_delta_r,sixdof_roll_response_metric,sixdof_roll_response_error,sixdof_roll_response_reference_phi_rate_to_t_final,sixdof_roll_response_reference_phi_rate_per_delta_r_to_t_final,sixdof_roll_response_metric_reference,sixdof_roll_response_fraction_of_target,sixdof_delta_e_initial,sixdof_thrust,turn_trim_mode,turn_trim_passed,turn_trim_beta,turn_trim_delta_r,turn_trim_Omega,Gamma_eff_rad,Gamma_eff_deg,CL_alpha,Cl_beta,Cn_beta,CS_beta,CS_p,CS_r,CY_beta,CY_p,CY_r,Cl_p,Cl_r,Cn_p,Cn_r,Cl_delta_r,Cn_delta_r,CS_delta_r,CY_delta_r,spiral_margin,control_column_delta_a,control_column_delta_e,control_column_delta_r,control_groups,Sref,Bref,Cref,Xcg,Ycg,Zcg,AoA_deg,Beta_deg,Mach,Rho,Vinf,quasi_matrix_det,quasi_beta_per_delta_r,quasi_p_per_delta_r,quasi_phat_per_delta_r,quasi_rhat_per_delta_r,turn_trim_fixed_phi,turn_trim_fixed_phi_deg,turn_trim_fixed_delta_a,turn_trim_fixed_V,turn_trim_message,turn_trim_max_abs_residual,turn_trim_cost,turn_trim_nfev,turn_trim_solution_V,turn_trim_solution_phi,turn_trim_solution_delta_a,turn_trim_solution_alpha,turn_trim_solution_beta,turn_trim_solution_theta,turn_trim_solution_Omega,turn_trim_solution_delta_e,turn_trim_solution_delta_r,turn_trim_solution_T,turn_trim_derived_u,turn_trim_derived_v,turn_trim_derived_w,turn_trim_derived_p,turn_trim_derived_q,turn_trim_derived_r,turn_trim_derived_p_hat,turn_trim_derived_q_hat,turn_trim_derived_r_hat,turn_trim_derived_qbar,turn_trim_derived_turn_radius,turn_trim_derived_z_dot,turn_trim_derived_h_dot,turn_trim_derived_sink_rate,turn_trim_coefficients_CL,turn_trim_coefficients_CD,turn_trim_coefficients_CS,turn_trim_coefficients_CMl,turn_trim_coefficients_CMm,turn_trim_coefficients_CMn,turn_trim_coefficients_CX,turn_trim_coefficients_CY,turn_trim_coefficients_CZ,turn_trim_coefficients_Cl,turn_trim_coefficients_Cm,turn_trim_coefficients_Cn,turn_trim_residuals_force_x,turn_trim_residuals_force_y,turn_trim_residuals_force_z,turn_trim_residuals_moment_l,turn_trim_residuals_moment_m,turn_trim_residuals_moment_n,turn_trim_height_residual
vv_0p00100_wtip_0p00000,1,121,0.001,0.0,vv_0p00100_wtip_0p00000,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.vsp3,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000_deflection.csv,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.013218738767538813,0.013218738767538813,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0013218738767538812,-0.007573779418659374,-0.010224602215190155,0.15147558837318748,-0.014077484397952979,23.678710780352073,gliding,False,-0.30391140336286554,-4.376031939242331,0.04242963886489033,0.003034723539737731,0.17387685081597376,5.9954502,-0.003861,0.0026362,0.0060232,-0.0197273,0.0080914,-0.015450000005048313,-0.019727299999999504,0.00809139999999927,-0.7711202,0.2224421,-0.0874566,-0.0071803,0.0021798,-0.0016397,0.0109201,0.010920099999999829,-0.00055867872572,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.0003779500523797021,0.7091317172240504,0.0013957703693027073,0.001884289998558655,0.009041326442919792,0.08726646259971647,5.0,0.0,10.0,`ftol` termination condition is satisfied.,0.005711504385410583,1.8427435080576772e-05,32,10.0,0.08726646259971647,0.0,0.0030208964451342,-0.30391140336286554,-0.04992214168355846,0.04242963886489033,-0.01351758452498286,-4.376031939242331,0.0,9.541689316679628,-2.99254642899347,0.028824543019871345,0.002117298724763848,0.0036933795481181885,0.04221552140893996,0.002858353278431195,0.00011541811087869339,0.056990953902068944,61.25,235.6843062427005,0.2443301483340375,-0.2443301483340375,0.2443301483340375,0.8886511201025119,0.021734413441246117,-0.04922085053158426,0.0020060972540753286,-4.489126139194458e-06,0.005711504385410583,-0.032783283966479955,-0.040461096532325797,-0.888754210158192,0.0020060972540753286,-4.489126139194458e-06,0.005711504385410583,0.00013528981848500704,0.0004363790879490775,2.0283691532511226e-05,0.0020060972540753286,-4.489126139194458e-06,0.005711504385410583,0.024433014833403738
vv_0p00100_wtip_0p20000,2,121,0.001,0.2,vv_0p00100_wtip_0p20000,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000.vsp3,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000_deflection.csv,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.01851642095126894,0.01851642095126894,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0018516420951268941,-0.010609127721953233,-0.014322322424636866,0.21218255443906467,-0.012432876650762132,23.678779857161278,gliding,False,0.705429700638763,-2.2460705472831064,0.0697669967825417,0.020921596918360968,1.1987192040959926,5.9942103,-0.0266125,-0.001435,0.0049194,-0.0628628,0.0207231,-0.016556200817297344,-0.0628627999999979,0.020723099999999165,-0.7720837,0.2229752,-0.0876085,-0.0071395,0.0021073,-0.0016423,0.0110588,0.011058800000001942,0.0005099693557500001,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.0003572664226787275,0.7528253210045587,-0.021738994214057276,-0.029347642188977324,-0.021220172971289596,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,0.002371236603313151,3.073233465075514e-06,35,10.0,0.08726646259971647,0.0,0.0038525204933648883,0.705429700638763,0.0444102803490632,0.0697669967825417,-0.03220881844583513,-2.2460705472831064,0.0,7.613273710944764,6.483610346684801,0.029330438099769204,-0.0030973535141192326,0.006074599113213718,0.06943298558234047,-0.004181427244060964,0.00018983122228792868,0.09373453053615963,61.25,143.33424772703378,0.2557202443608393,-0.2557202443608393,0.2557202443608393,0.8912353638676124,0.02245161632476431,-0.019133219194760725,0.0006180475966607079,-6.110854115616918e-07,0.002371236603313151,-0.0012543942878681662,-0.029123504759529913,-0.8912468103315022,0.0006180475966607079,-6.110854115616918e-07,0.002371236603313151,7.216558520171666e-05,0.00036946358003658414,3.0801679379376822e-06,0.0006180475966607079,-6.110854115616918e-07,0.002371236603313151,0.025572024436083928
vv_0p00100_wtip_0p40000,3,121,0.001,0.4,vv_0p00100_wtip_0p40000,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000.vsp3,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000_deflection.csv,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.020501850116896,0.020501850116896,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0020501850116895998,-0.011746694839079341,-0.01585803803275711,0.23493389678158683,-0.009738313787801808,23.677575225889,gliding,True,0.419146499277588,-1.3311261919922495,0.07079508099615889,0.03636221183103741,2.083401271679113,5.9974721,-0.0462783,-0.0039157,0.0008131,-0.1060707,0.0334596,-0.02066369991869977,-0.10607070000000143,0.03345959999999975,-0.7728724,0.2234735,-0.0876799,-0.0071584,0.002284,-0.001648,0.011205,0.011205000000001191,0.00120633376667,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.00035674494360688164,0.7555994437151979,-0.037246537646300044,-0.05028282582250507,-0.027646904604512034,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,1.5459105902674617e-12,2.3907818453935266e-24,5,10.0,0.08726646259971647,0.0,0.003676228775473018,0.419146499277588,0.015714622911800556,0.07079508099615889,-0.01683898059397143,-1.3311261919922495,0.0,9.134304591504643,4.069809825647142,0.03357994465718365,-0.0011124722131598426,0.006169436019531104,0.07051697638178028,-0.0015018374877657876,0.000192794875610347,0.09519791811540337,61.25,141.25275173486372,0.2445752897949696,-0.2445752897949696,0.2445752897949696,0.891469693191563,0.021754777917863493,-0.01120350968126342,3.3281190303657837e-13,9.086481567166516e-15,3.873941098464506e-14,-0.012034653057996218,-0.019087477037116253,-0.891519959516681,3.3281190303657837e-13,9.086481567166516e-15,3.873941098464506e-14,1.5459105902674617e-12,1.5092862208194734e-12,-3.784405391730892e-14,3.3281190303657837e-13,9.086481567166516e-15,3.873941098464506e-14,0.02445752897949696
vv_0p00100_wtip_0p60000,4,121,0.001,0.6000000000000001,vv_0p00100_wtip_0p60000,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000.vsp3,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000_deflection.csv,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.021528861187830654,0.021528861187830654,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0021528861187830655,-0.012335128837857008,-0.016652423931106962,0.24670257675714016,-0.007174314555242761,23.672549732367102,gliding,True,0.24802239052715583,-1.441554365313477,0.06736992527842382,0.05354806211726065,3.0680779604234028,5.9941029,-0.0681125,-0.0069235,-0.0058554,-0.1492862,0.0462088,-0.027329300037452115,-0.14928620000000034,0.04620880000000109,-0.7736191,0.2238394,-0.087728,-0.0071617,0.0023573,-0.0016425,0.0113531,0.011353100000000982,0.00203755337715,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.00035528892744497454,0.7597625684668367,-0.055865207521950684,-0.07541803015463343,-0.03999653620990298,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,1.1133447401592499e-14,8.208123180767542e-29,5,10.0,0.08726646259971647,0.0,0.0033160641534722393,0.24802239052715583,0.00018916148267201634,0.06736992527842382,-0.013143819124237262,-1.441554365313477,0.0,9.693944652353698,2.4548734632920266,0.032145860195809325,-1.2743794877169717e-05,0.005871675771444912,0.0671135611724719,-1.720412308417912e-05,0.0001834898678576535,0.09060330758283706,61.25,148.4341857093115,0.24414613020411852,-0.24414613020411852,0.24414613020411852,0.8912190438594243,0.021716604514874276,-0.013598366374859129,2.654126918244515e-15,3.729655473350135e-17,3.165870343657673e-16,-0.01475841359072635,-0.01851340519148743,-0.8912728839552607,2.654126918244515e-15,3.729655473350135e-17,3.165870343657673e-16,1.1133447401592499e-14,5.139753576133151e-15,2.5779328281545585e-15,2.654126918244515e-15,3.729655473350135e-17,3.165870343657673e-16,0.024414613020411854
vv_0p00100_wtip_0p80000,5,121,0.001,0.8,vv_0p00100_wtip_0p80000,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000.vsp3,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000_deflection.csv,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.020891501551032633,0.020891501551032633,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0020891501551032633,-0.011969948665651832,-0.016159430698629972,0.2393989733130366,-0.004422637976363459,23.664534929623294,gliding,True,0.18419914052329037,-1.4066152329761965,0.06771460801189236,0.07188447140206415,4.11867682386714,5.9920579,-0.091405,-0.0087705,-0.0154163,-0.1925134,0.0589704,-0.03688339992163881,-0.19251339999999723,0.058970399999998285,-0.7742851,0.2240853,-0.087689,-0.007178,0.0022816,-0.0016447,0.0114457,0.011445700000002309,0.0026214452136499996,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.0003528797783685509,0.763496437680914,-0.06916305211572325,-0.0933701203562264,-0.02137266965217634,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,7.218211918832764e-16,3.7843222011438154e-31,5,10.0,0.08726646259971647,0.0,0.003532575910026888,0.18419914052329037,-0.005071415709505049,0.06771460801189236,-0.010878982044390735,-1.4066152329761965,0.0,9.830771167362117,1.8315928081143666,0.03472808986127977,0.000343407454799289,0.005901641062417215,0.06745606601555279,0.00046360006397904016,0.00018442628320053796,0.09106568912099626,61.25,147.67862199311193,0.24408298650518184,-0.24408298650518184,0.24408298650518184,0.8912401881541449,0.021710987932979493,-0.013629199202571593,9.93129189996722e-17,8.239936510889834e-18,1.0408340855860843e-17,-0.01569890959993762,-0.017375206392329423,-0.8913012069380147,9.93129189996722e-17,8.239936510889834e-18,1.0408340855860843e-17,4.608054930326274e-16,1.1600697726695514e-16,-7.218211918832764e-16,9.93129189996722e-17,8.239936510889834e-18,1.0408340855860843e-17,0.024408298650518183
vv_0p00100_wtip_1p00000,6,121,0.001,1.0,vv_0p00100_wtip_1p00000,vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000.vsp3,vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000_deflection.csv,vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.020576963658553642,0.020576963658553642,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.002057696365855364,-0.011789731728291973,-0.015916137833194163,0.23579463456583946,-0.0020191211577159783,23.64693649328613,gliding,True,0.1445760052042171,-1.4271653168068674,0.06752003166098171,0.08988512595955475,5.150038358484281,5.980424,-0.1140719,-0.0112541,-0.0278216,-0.2357376,0.0717068,-0.049272799935682364,-0.23573759999999933,0.07170680000000063,-0.7748821,0.2242417,-0.087627,-0.0071932,0.0022914,-0.0016397,0.0115552,0.011555200000000144,0.0033441805070499996,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.00036304492890339846,0.7402626207125185,-0.08301422008643906,-0.11206919711669275,-0.020908917313062134,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,7.549029441263857e-09,2.977200072344187e-17,4,10.0,0.08726646259971647,0.0,0.0037212993666076613,0.1445760052042171,-0.008289239933962918,0.06752003166098171,-0.010920744937852148,-1.4271653168068674,0.0,9.895602291775745,1.4407287138079397,0.03682466852425991,0.0005596833332884998,0.005884556335627605,0.06726078669476916,0.0007555724999394747,0.00018389238548836265,0.09080206203793836,61.25,148.10419595491354,0.24427282874875222,-0.24427282874875222,0.24427282874875222,0.8912191970910068,0.021727873824633516,-0.014170369279219549,-1.3205563365904782e-09,-2.912950111157164e-11,-1.4058845233810846e-10,-0.016143002367574363,-0.017152928134765863,-0.8912854411808551,-1.3205563365904782e-09,-2.912950111157164e-11,-1.4058845233810846e-10,-6.671639309538962e-10,7.549029441263857e-09,-5.886981842797588e-10,-1.3205563365904782e-09,-2.912950111157164e-11,-1.4058845233810846e-10,0.024427282874875222
vv_0p00100_wtip_1p20000,7,121,0.001,1.2000000000000002,vv_0p00100_wtip_1p20000,vv_0p00100_wtip_1p20000\vv_0p00100_wtip_1p20000.vsp3,vv_0p00100_wtip_1p20000\vv_0p00100_wtip_1p20000_deflection.csv,vv_0p00100_wtip_1p20000\vv_0p00100_wtip_1p20000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.019046258276451105,0.019046258276451105,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0019046258276451105,-0.01091270214756762,-0.014732147899216287,0.21825404295135237,-0.0002647264192167894,23.63760413067227,gliding,True,0.1193563535512217,-1.4451332387295335,0.06741768086851992,0.10886636984555949,6.2375835230608505,5.9657925,-0.1378227,-0.0137021,-0.0428434,-0.2788926,0.0843551,-0.06428439978047587,-0.27889259999999944,0.0843551000000006,-0.7749688,0.2243227,-0.0876061,-0.0072046,0.0021784,-0.0016359,0.0116525,0.01165250000000031,0.00406664949209,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.0003653114279703149,0.7363082554954938,-0.09820377643621513,-0.13257509818889043,-0.015334930208346286,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,4.157544479713618e-09,9.031860257579003e-18,4,10.0,0.08726646259971647,0.0,0.003973656328629914,0.1193563535512217,-0.010217121491831163,0.06741768086851992,-0.009736887124305317,-1.4451332387295335,0.0,9.928776437418204,1.19073164783027,0.039453752983841864,0.0006888026520162601,0.005875531364979973,0.06715763080823584,0.0009298835802219512,0.00018361035515562416,0.09066280159111838,61.25,148.32904174651625,0.24451700280982006,-0.24451700280982006,0.24451700280982006,0.8912060716145036,0.021749592467273024,-0.014556425047695385,-7.825480055623224e-10,-2.3152414447419334e-11,-8.465088786185904e-11,-0.0163200808800908,-0.017042655915283367,-0.8912779584420553,-7.825480055623224e-10,-2.3152414447419334e-11,-8.465088786185904e-11,3.796712829742426e-10,4.157544479713618e-09,-1.1962835418663353e-10,-7.825480055623224e-10,-2.3152414447419334e-11,-8.465088786185904e-11,0.024451700280982005
vv_0p00100_wtip_1p40000,8,121,0.001,1.4000000000000001,vv_0p00100_wtip_1p40000,vv_0p00100_wtip_1p40000\vv_0p00100_wtip_1p40000.vsp3,vv_0p00100_wtip_1p40000\vv_0p00100_wtip_1p40000_deflection.csv,vv_0p00100_wtip_1p40000\vv_0p00100_wtip_1p40000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.017634213834542386,0.017634213834542386,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0017634213834542387,-0.010103660277504865,-0.01363994137463157,0.2020732055500973,0.0025421851484577836,23.618629119516164,gliding,True,0.10206951197689154,-1.4778032947102602,0.06709200238101293,0.12496622968131182,7.160037542401646,5.9553995,-0.1579292,-0.0165328,-0.0596443,-0.3220062,0.0970697,-0.08106949996151745,-0.32200619999999924,0.09706969999999925,-0.77541,0.2243324,-0.0875149,-0.0071997,0.0022255,-0.0016401,0.0117878,0.011787799999999406,0.00484588556396,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.0003865627646085768,0.6937876596704623,-0.109103152890052,-0.1472892564015702,-0.030605174485331555,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,2.7215943091525947e-09,4.1700905049608996e-18,4,10.0,0.08726646259971647,0.0,0.0040920950175429805,0.10206951197689154,-0.011594168823042823,0.06709200238101293,-0.006341805561296764,-1.4778032947102602,0.0,9.94787099199901,1.0189237442687662,0.040707860542760196,0.0007778585747673098,0.005847060283121431,0.06683220485347652,0.0010501090759358683,0.00018272063384754472,0.09022347655219329,61.25,149.0490616632722,0.24468402791381033,-0.24468402791381033,0.24468402791381033,0.8911767920767124,0.02176444905010227,-0.015080074018028826,-5.844344912533939e-10,-2.1365259821742866e-11,-6.405198810580104e-11,-0.01646769151997897,-0.01721922008236087,-0.8912516413486943,-5.844344912533939e-10,-2.1365259821742866e-11,-6.405198810580104e-11,7.657382497295028e-10,2.7215943091525947e-09,2.505101069893536e-11,-5.844344912533939e-10,-2.1365259821742866e-11,-6.405198810580104e-11,0.024468402791381034
vv_0p00100_wtip_1p60000,9,121,0.001,1.6,vv_0p00100_wtip_1p60000,vv_0p00100_wtip_1p60000\vv_0p00100_wtip_1p60000.vsp3,vv_0p00100_wtip_1p60000\vv_0p00100_wtip_1p60000_deflection.csv,vv_0p00100_wtip_1p60000\vv_0p00100_wtip_1p60000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.015851017412646707,0.015851017412646707,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.0015851017412646707,-0.009081963987330344,-0.012260651382895966,0.18163927974660687,0.005297188225928471,23.59663482969923,gliding,True,0.08931420377560997,-1.4802366736196602,0.06710130262644712,0.14277362401519256,8.180326081858189,5.9418393,-0.1800229,-0.0187751,-0.0797508,-0.3650555,0.1097083,-0.10115690019385781,-0.3650554999999992,0.10970830000000002,-0.775476,0.2242373,-0.0874177,-0.0072045,0.0022082,-0.0016351,0.0119093,0.011909300000000114,0.00550705271428,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.00040849728928943287,0.6554278304009262,-0.11645828749450365,-0.15721868811757994,-0.027361641516311125,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,1.717290478728973e-09,2.3814350096703005e-18,4,10.0,0.08726646259971647,0.0,0.00438378358217618,0.08931420377560997,-0.012441092001097142,0.06710130262644712,-0.004791602213343544,-1.4802366736196602,0.0,9.96004566705738,0.8919550749190003,0.04366296437185345,0.0008347919440235379,0.005847811276188174,0.0668407887435084,0.0011269691244317763,0.00018274410238088045,0.09023506480373636,61.25,149.02840345246335,0.2451370862201692,-0.2451370862201692,0.2451370862201692,0.8911734313178036,0.021804747812148955,-0.015253221607305327,-3.2192597242478027e-10,-1.356111880776445e-11,-3.5421430545634625e-11,-0.01645042368333628,-0.01713730990510638,-0.8912541100343695,-3.2192597242478027e-10,-1.356111880776445e-11,-3.5421430545634625e-11,1.3056593025194284e-09,1.717290478728973e-09,6.294682950743362e-11,-3.2192597242478027e-10,-1.356111880776445e-11,-3.5421430545634625e-11,0.02451370862201692
vv_0p00100_wtip_1p80000,10,121,0.001,1.8,vv_0p00100_wtip_1p80000,vv_0p00100_wtip_1p80000\vv_0p00100_wtip_1p80000.vsp3,vv_0p00100_wtip_1p80000\vv_0p00100_wtip_1p80000_deflection.csv,vv_0p00100_wtip_1p80000\vv_0p00100_wtip_1p80000.stab,True,True,,True,,False,target_delta_phi_not_reached,False,0.08726646259971647,5.0,True,False,0.0,0.01401235087965566,0.01401235087965566,0.0,10.0,,,-0.17453292519943295,10.0,27.0,,,,target_delta_phi_not_reached,0.001401235087965566,-0.008028485664606958,-0.010838455647219395,0.16056971329213918,0.006972774077951484,23.566299695820764,gliding,True,0.07941599785820931,-1.4910817979440965,0.06702288065949483,0.16027002563028772,9.182796051069017,5.9176623,-0.2012618,-0.0213331,-0.10182,-0.4079566,0.1222135,-0.12319949984574623,-0.40795659999999945,0.12221350000000056,-0.7757108,0.2240329,-0.0872124,-0.0071647,0.0022072,-0.0016332,0.0120319,0.012031899999998458,0.00622129667745,ConGrp_1,ConGrp_2,ConGrp_3,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",18.0,27.0,0.625,1.4,0.0,0.0,0.0,0.0,0.0,1.225,10.0,-0.0004310901970403767,0.6180009083338617,-0.12381530989787681,-0.16715066836213371,-0.03342278505887953,0.08726646259971647,5.0,0.0,10.0,`gtol` termination condition is satisfied.,1.5088759975909453e-09,1.8863295225076903e-18,4,10.0,0.08726646259971647,0.0,0.004797661094882161,0.07941599785820931,-0.012873970432408151,0.06702288065949483,-0.005303078903450063,-1.4910817979440965,0.0,9.9683673418786,0.7933254604304916,0.047825215115979584,0.000862826749420691,0.005840944875020813,0.0667623054190337,0.001164816111717933,0.0001825295273444004,0.09012911231569551,61.25,149.2027782393347,0.24510533909625795,-0.24510533909625795,0.24510533909625795,0.8911647900966291,0.02180192378450491,-0.01547701069494098,-1.9396829238280122e-10,-9.235159945802929e-12,-2.1395878992136463e-11,-0.01622965173094939,-0.017157832478303346,-0.891252911377048,-1.9396829238280122e-10,-9.235159945802929e-12,-2.1395878992136463e-11,1.5088759975909453e-09,1.2056145534155548e-09,6.541442681054316e-11,-1.9396829238280122e-10,-9.235159945802929e-12,-2.1395878992136463e-11,0.0245105339096258
