case,case_index,case_count,Vv,tip_deflection,case_dir,vsp3_path,stab_path,passed,vspaero_passed,vtail_input_vsp3_path,vtail_output_vsp3_path,vtail_vtail_name,vtail_wing_reference_source,vtail_vv_target,vtail_vv_actual,vtail_xcg,vtail_lv_original,vtail_lv_actual,vtail_wing_area,vtail_wing_span,vtail_wing_section_area,vtail_wing_section_span,vtail_vtail_area_scale_mode,vtail_area_ratio,vtail_span_scale,vtail_chord_scale,vtail_scale,vtail_area_before,vtail_area_target,vtail_area_after,vtail_span_before,vtail_span_after,vtail_aspect_ratio_before,vtail_aspect_ratio_after,vtail_x_ac_original,vtail_x_ac_target,vtail_x_ac_before_shift,vtail_x_ac_after,vtail_x_shift,vtail_x_location_original,vtail_x_location_before_shift,vtail_x_location_after,deflection_csv_path,wing_dihedral_update_count,vspaero_wall_elapsed_s,vspaero_read_vsp3_elapsed_s,vspaero_compute_geometry_elapsed_s,vspaero_compute_geometry_analysis_duration_s,vspaero_vspaero_sweep_elapsed_s,vspaero_vspaero_sweep_analysis_duration_s,vspaero_result_extraction_elapsed_s,vspaero_total_elapsed_s,elapsed_s
vv_0p00100_wtip_0p00000,1,121,0.001,0.0,vv_0p00100_wtip_0p00000,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.vsp3,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000_deflection.csv,4,225.91391310002655,0.15365880000172183,0.29787260002922267,0.298,225.45874879998155,225.459,0.0008799000061117113,225.91307170002256,226.3242195000057
vv_0p00100_wtip_0p20000,2,121,0.001,0.2,vv_0p00100_wtip_0p20000,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000.vsp3,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000_deflection.csv,4,224.2493791000452,0.1728131000418216,0.27887809998355806,0.278,223.79379680001875,223.794,0.0008873000042513013,224.24840939999558,224.7290781000047
vv_0p00100_wtip_0p40000,3,121,0.001,0.4,vv_0p00100_wtip_0p40000,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000.vsp3,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000_deflection.csv,4,206.78387340001063,0.1551146000274457,0.27411850000498816,0.274,206.35066659998847,206.35,0.0008768999832682312,206.78294110001298,207.27809849998448
vv_0p00100_wtip_0p60000,4,121,0.001,0.6000000000000001,vv_0p00100_wtip_0p60000,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000.vsp3,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000_deflection.csv,4,212.8989453999675,0.17319709999719635,0.5891331000020728,0.589,212.13268689997494,212.133,0.0009014999959617853,212.8981286000344,213.3826057999977
vv_0p00100_wtip_0p80000,5,121,0.001,0.8,vv_0p00100_wtip_0p80000,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000.vsp3,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000_deflection.csv,4,214.85638499999186,0.16386149998288602,0.2874160000355914,0.287,214.40145699999994,214.401,0.0008329999982379377,214.85553100000834,215.33825939998496
vv_0p00100_wtip_1p00000,6,121,0.001,1.0,vv_0p00100_wtip_1p00000,vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000.vsp3,vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_1p00000\vv_0p00100_wtip_1p00000_deflection.csv,4,195.29189799999585,0.15985439997166395,0.3029907000018284,0.303,194.82532699999865,194.825,0.0007812000112608075,195.29104609997012,195.78705500002252
vv_0p00100_wtip_1p20000,7,121,0.001,1.2000000000000002,vv_0p00100_wtip_1p20000,vv_0p00100_wtip_1p20000\vv_0p00100_wtip_1p20000.vsp3,vv_0p00100_wtip_1p20000\vv_0p00100_wtip_1p20000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_1p20000\vv_0p00100_wtip_1p20000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_1p20000\vv_0p00100_wtip_1p20000_deflection.csv,4,190.15001360001042,0.1548107999842614,0.28680129995336756,0.286,189.7046802000259,189.705,0.0008303000358864665,190.14920810004696,190.64765160001116
vv_0p00100_wtip_1p40000,8,121,0.001,1.4000000000000001,vv_0p00100_wtip_1p40000,vv_0p00100_wtip_1p40000\vv_0p00100_wtip_1p40000.vsp3,vv_0p00100_wtip_1p40000\vv_0p00100_wtip_1p40000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_1p40000\vv_0p00100_wtip_1p40000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_1p40000\vv_0p00100_wtip_1p40000_deflection.csv,4,191.0018788999878,0.15877899999031797,0.5880506999674253,0.588,190.25144520000322,190.251,0.0008600000292062759,191.00110990001122,191.50140500004636
vv_0p00100_wtip_1p60000,9,121,0.001,1.6,vv_0p00100_wtip_1p60000,vv_0p00100_wtip_1p60000\vv_0p00100_wtip_1p60000.vsp3,vv_0p00100_wtip_1p60000\vv_0p00100_wtip_1p60000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_1p60000\vv_0p00100_wtip_1p60000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_1p60000\vv_0p00100_wtip_1p60000_deflection.csv,4,186.99382169998717,0.16962709999643266,0.27340110001387075,0.273,186.54736849997425,186.547,0.0007781999884173274,186.99311770003987,187.4818329999689
vv_0p00100_wtip_1p80000,10,121,0.001,1.8,vv_0p00100_wtip_1p80000,vv_0p00100_wtip_1p80000\vv_0p00100_wtip_1p80000.vsp3,vv_0p00100_wtip_1p80000\vv_0p00100_wtip_1p80000.stab,True,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\models\BRGlider\BRGlider.0G.vsp3,vv_0p00100_wtip_1p80000\vv_0p00100_wtip_1p80000_vtail.vsp3,VTailGeom,vspaero_reference_wing,0.001,0.0010000000000000002,1.4,4.514999999999999,4.514999999999999,18.0,27.0,9.0,13.5,fixed_aspect_ratio,0.2691029900332227,0.5187513759338116,0.5187513759338116,0.5187513759338116,0.4,0.10764119601328907,0.1076411960132891,0.8,0.4150011007470493,1.6000000000000003,1.6,5.914999999999999,5.914999999999999,5.806719059585107,5.914999999999999,0.10828094041489233,5.6899999999999995,5.6899999999999995,5.798280940414892,vv_0p00100_wtip_1p80000\vv_0p00100_wtip_1p80000_deflection.csv,4,187.23915620002663,0.1537551999790594,0.3015785000170581,0.301,186.78032279998297,186.78,0.0007792999967932701,187.23842719994718,187.7451921000029
