case,case_index,case_count,Vv,tip_deflection,case_dir,gamma_semispan,vsp3_path,deflection_csv_path,stab_path,passed,vspaero_passed,error
vv_0p00100_wtip_0p00000,1,286,0.001,0.0,vv_0p00100_wtip_0p00000,13.5,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.vsp3,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000_deflection.csv,vv_0p00100_wtip_0p00000\vv_0p00100_wtip_0p00000.stab,True,True,
vv_0p00100_wtip_0p10000,2,286,0.001,0.1,vv_0p00100_wtip_0p10000,13.5,vv_0p00100_wtip_0p10000\vv_0p00100_wtip_0p10000.vsp3,vv_0p00100_wtip_0p10000\vv_0p00100_wtip_0p10000_deflection.csv,vv_0p00100_wtip_0p10000\vv_0p00100_wtip_0p10000.stab,True,True,
vv_0p00100_wtip_0p20000,4,286,0.001,0.2,vv_0p00100_wtip_0p20000,13.5,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000.vsp3,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000_deflection.csv,vv_0p00100_wtip_0p20000\vv_0p00100_wtip_0p20000.stab,True,True,
vv_0p00100_wtip_0p30000,5,286,0.001,0.3,vv_0p00100_wtip_0p30000,13.5,vv_0p00100_wtip_0p30000\vv_0p00100_wtip_0p30000.vsp3,vv_0p00100_wtip_0p30000\vv_0p00100_wtip_0p30000_deflection.csv,vv_0p00100_wtip_0p30000\vv_0p00100_wtip_0p30000.stab,True,True,
vv_0p00100_wtip_0p40000,7,286,0.001,0.4,vv_0p00100_wtip_0p40000,13.5,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000.vsp3,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000_deflection.csv,vv_0p00100_wtip_0p40000\vv_0p00100_wtip_0p40000.stab,True,True,
vv_0p00100_wtip_0p50000,9,286,0.001,0.5,vv_0p00100_wtip_0p50000,13.5,vv_0p00100_wtip_0p50000\vv_0p00100_wtip_0p50000.vsp3,vv_0p00100_wtip_0p50000\vv_0p00100_wtip_0p50000_deflection.csv,vv_0p00100_wtip_0p50000\vv_0p00100_wtip_0p50000.stab,True,True,
vv_0p00100_wtip_0p60000,11,286,0.001,0.6,vv_0p00100_wtip_0p60000,13.5,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000.vsp3,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000_deflection.csv,vv_0p00100_wtip_0p60000\vv_0p00100_wtip_0p60000.stab,True,True,
vv_0p00100_wtip_0p70000,13,286,0.001,0.7,vv_0p00100_wtip_0p70000,13.5,vv_0p00100_wtip_0p70000\vv_0p00100_wtip_0p70000.vsp3,vv_0p00100_wtip_0p70000\vv_0p00100_wtip_0p70000_deflection.csv,vv_0p00100_wtip_0p70000\vv_0p00100_wtip_0p70000.stab,True,True,
vv_0p00100_wtip_0p80000,14,286,0.001,0.8,vv_0p00100_wtip_0p80000,13.5,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000.vsp3,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000_deflection.csv,vv_0p00100_wtip_0p80000\vv_0p00100_wtip_0p80000.stab,True,True,
vv_0p00100_wtip_0p90000,15,286,0.001,0.9,vv_0p00100_wtip_0p90000,13.5,vv_0p00100_wtip_0p90000\vv_0p00100_wtip_0p90000.vsp3,vv_0p00100_wtip_0p90000\vv_0p00100_wtip_0p90000_deflection.csv,vv_0p00100_wtip_0p90000\vv_0p00100_wtip_0p90000.stab,True,True,
