wake_iter,passed,case_dir,vsp3_path,errors,warnings,elapsed_s,total_elapsed_s,compute_geometry_elapsed_s,vspaero_sweep_elapsed_s,result_extraction_elapsed_s,stab_path,Sref,Cref,Bref,Vinf,rho,AoA_deg,Beta_deg,control_groups,CL_Base,CL_Alpha,CL_Beta,CL_p,CL_q,CL_r,CL_Mach,CL_U,CL_ConGrp_1,CL_ConGrp_2,CL_ConGrp_3,CD_Base,CD_Alpha,CD_Beta,CD_p,CD_q,CD_r,CD_Mach,CD_U,CD_ConGrp_1,CD_ConGrp_2,CD_ConGrp_3,CS_Base,CS_Alpha,CS_Beta,CS_p,CS_q,CS_r,CS_Mach,CS_U,CS_ConGrp_1,CS_ConGrp_2,CS_ConGrp_3,CMl_Base,CMl_Alpha,CMl_Beta,CMl_p,CMl_q,CMl_r,CMl_Mach,CMl_U,CMl_ConGrp_1,CMl_ConGrp_2,CMl_ConGrp_3,CMm_Base,CMm_Alpha,CMm_Beta,CMm_p,CMm_q,CMm_r,CMm_Mach,CMm_U,CMm_ConGrp_1,CMm_ConGrp_2,CMm_ConGrp_3,CMn_Base,CMn_Alpha,CMn_Beta,CMn_p,CMn_q,CMn_r,CMn_Mach,CMn_U,CMn_ConGrp_1,CMn_ConGrp_2,CMn_ConGrp_3
3,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_003,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_003\BRGlider.vsp3,[],[],76.02383890002966,76.0228683000314,0.2791330000036396,75.5464207000332,0.0008646000060252845,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_003\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3556445,6.3397991,0.2889354,0.0027303,33.4518088,-0.0026063,0.051373,0.0051373,0.0247413,0.1361228,0.0284253,0.0122741,0.0603404,-0.0005479,-0.0182148,-1.9644089,0.0010626,0.0005971,5.97e-05,-3.22e-05,-0.0016318,-4.9e-06,7.96e-05,-0.0101966,-0.0532428,-0.2297513,0.1001276,0.0593324,-2.73e-05,-2.7e-06,-0.0644386,0.0054933,0.0509126,1.61e-05,0.0674072,-0.0102232,-0.7792205,-0.0397231,0.1211582,2.57e-05,2.6e-06,-0.203711,0.00224,0.0140368,-0.898848,-17.0404196,-0.3817821,-0.0392791,-93.0475614,-0.0114421,-0.1323703,-0.013237,-0.1934411,-1.2015792,-0.0066849,-7.9e-06,0.0053769,0.0090927,-0.0289549,0.0158699,-0.0098876,2.07e-05,2.1e-06,0.0065833,-0.0021167,-0.0104262
4,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_004,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_004\BRGlider.vsp3,[],[],94.89372049999656,94.89270959998248,0.2850336999981664,94.40138769999612,0.0008045999566093087,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_004\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561108,5.9479395,-0.5249692,0.0003429,32.1907485,-0.1227496,0.0511484,0.0051148,-0.0121053,0.0757654,-0.0496809,0.0122709,0.059143,-0.0070304,-0.0181687,-1.9608559,-0.0003511,0.0006018,6.02e-05,-8.16e-05,-0.0023974,-0.0006212,8.96e-05,-0.0323033,-0.1529253,-0.2298406,0.0263298,0.0630836,-7e-05,-7e-06,-0.0671001,-0.0097485,0.0421294,5e-05,-0.055487,-0.2795512,-0.7799067,-0.1494906,0.1152966,-8.43e-05,-8.4e-06,-0.2135576,-0.0259189,-0.0120061,-0.9019647,-14.8849446,0.9211642,-0.0175985,-85.0958613,1.0600206,-0.1309502,-0.013095,0.015058,-1.184301,0.1151171,-6.8e-06,0.0072377,0.0175905,-0.0289806,0.0227757,-0.0095705,5.4e-06,5e-07,0.006879,0.0025489,-0.009751
5,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_005,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_005\BRGlider.vsp3,[],[],114.42910609999672,114.42698550003115,0.30031530000269413,113.89782630000263,0.0008207000209949911,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_005\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561447,6.1194583,0.0311328,-0.0001333,32.2329955,-0.0999549,0.0514659,0.0051466,0.0036871,0.1541651,-0.000599,0.0122687,0.0623482,0.000161,-0.0182021,-1.9521556,-0.000634,0.0006061,6.06e-05,0.0001135,-0.001421,1.24e-05,7.94e-05,0.0072937,-0.0696514,-0.2296596,0.0788834,0.066023,5.4e-06,5e-07,-0.0630565,-0.0001182,0.0494144,2.71e-05,0.0120993,-0.1101899,-0.7798942,-0.0234936,0.1180843,-1.2e-06,-1e-07,-0.2096265,-0.0010737,0.0024323,-0.9027377,-15.0317259,0.0611355,-0.0153527,-82.4770356,0.9019588,-0.1319619,-0.0131962,-0.0032387,-1.3171678,0.0370757,-4.9e-06,-0.0003246,0.0051418,-0.0290087,0.0154076,-0.0100936,3e-06,3e-07,0.0060363,0.0013791,-0.010917
6,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_006,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_006\BRGlider.vsp3,[],[],132.88009629998123,132.8790096999728,0.2753525000298396,132.39067150000483,0.000895200006198138,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_006\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561635,6.1018395,0.0439893,0.0014531,32.0993071,-0.1120073,0.0515545,0.0051554,0.0039616,0.1571764,0.0042283,0.0122683,0.0622628,7.36e-05,-0.0181777,-1.9509598,-0.0006673,0.0006075,6.08e-05,0.0001357,-0.0013382,8.02e-05,7.87e-05,0.00582,-0.0690157,-0.2294845,0.0817862,0.0668406,1.25e-05,1.2e-06,-0.06285,0.0011236,0.0496752,2.65e-05,0.007976,-0.1081685,-0.7794375,-0.0247933,0.1187593,2.51e-05,2.5e-06,-0.2090334,0.0016725,0.0041108,-0.9029525,-15.025579,-0.1007538,-0.0195603,-81.28827,1.0183836,-0.1320082,-0.0132008,-0.0084793,-1.3093842,0.0191677,-4.7e-06,0.0001897,0.0055449,-0.0290432,0.0149986,-0.0103107,2.6e-06,3e-07,0.0061101,0.0011973,-0.0108756
7,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_007,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_007\BRGlider.vsp3,[],[],152.57343490002677,152.57227659999626,0.26505360001465306,152.09709110000404,0.0008011000463739038,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_007\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561741,6.0846768,0.0211325,0.0010447,32.0281048,-0.1162552,0.051514,0.0051514,0.0012786,0.1538124,0.001896,0.0122682,0.0622993,-0.000412,-0.0181823,-1.9508436,-0.0007467,0.0006073,6.07e-05,0.0001186,-0.001367,6.82e-05,7.94e-05,0.0033385,-0.0723015,-0.2295757,0.0795991,0.066762,5e-06,5e-07,-0.0632055,0.0007163,0.0494413,2.8e-05,0.0038362,-0.1209854,-0.7795735,-0.0342289,0.118095,1.43e-05,1.4e-06,-0.2100662,0.0008469,0.0034064,-0.9030154,-14.9626864,-0.1349905,-0.0196244,-80.8381654,1.0463766,-0.1319832,-0.0131983,-0.0020883,-1.3014044,0.0260176,-4.8e-06,0.0006883,0.0060936,-0.0290227,0.0152695,-0.0102137,4e-06,4e-07,0.0061594,0.0012582,-0.0108433
8,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_008,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_008\BRGlider.vsp3,[],[],176.98735790001228,176.98624370002653,0.2698296000016853,176.51161429996137,0.0008010999881662428,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_008\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561776,6.0679085,0.02264,0.0007493,32.0086379,-0.1175296,0.0514916,0.0051492,7.55e-05,0.151944,0.0004298,0.0122682,0.0621494,-0.000507,-0.0181868,-1.9507737,-0.0007713,0.0006071,6.07e-05,0.0001077,-0.0013874,5.04e-05,7.96e-05,0.0016387,-0.0724311,-0.2296033,0.0788981,0.0667914,2.5e-06,3e-07,-0.0633008,0.0005682,0.0492458,2.87e-05,-0.0013528,-0.1219185,-0.7796658,-0.0371542,0.1180958,6.5e-06,6e-07,-0.2104388,0.0001946,0.0028898,-0.9030325,-14.9329604,-0.1789298,-0.0192821,-80.7193646,1.0574431,-0.1319663,-0.0131966,0.0002331,-1.296987,0.027969,-4.9e-06,0.0008908,0.006246,-0.0290202,0.0152166,-0.0102387,4.3e-06,4e-07,0.0061703,0.0012661,-0.0108154
9,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_009,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_009\BRGlider.vsp3,[],[],200.14580479997676,200.1448236000142,0.27380610001273453,199.6513906000182,0.0008088999893516302,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_009\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561782,6.0675714,0.0248743,0.000782,32.0059164,-0.1181407,0.0514932,0.0051493,9.54e-05,0.1520453,0.0005877,0.0122681,0.0621707,-0.0004985,-0.0181863,-1.9505037,-0.0007773,0.0006072,6.07e-05,0.0001101,-0.0013873,5.41e-05,7.96e-05,0.0014832,-0.0723457,-0.2296073,0.0790361,0.0668789,2.4e-06,2e-07,-0.0633019,0.0005549,0.0492642,2.86e-05,-0.0012189,-0.1217655,-0.7796581,-0.0371004,0.11819,7.5e-06,8e-07,-0.2104152,0.0002093,0.0029529,-0.9030366,-14.9333633,-0.1950972,-0.0194276,-80.6950068,1.065586,-0.1319593,-0.0131959,7.54e-05,-1.296933,0.027596,-4.9e-06,0.0009362,0.0062804,-0.0290186,0.0152117,-0.010265,4.4e-06,4e-07,0.0061716,0.0012696,-0.0108152
10,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_010,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_010\BRGlider.vsp3,[],[],220.87318150000647,220.87208810000448,0.2718487000092864,220.38812499999767,0.00087420002091676,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_010\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561787,6.0669579,0.0248976,0.0007778,32.0048655,-0.1187995,0.0514923,0.0051492,2.38e-05,0.1520466,0.0005202,0.0122681,0.0621674,-0.0004997,-0.0181842,-1.9504631,-0.0007863,0.0006072,6.07e-05,0.0001103,-0.0013889,5.32e-05,7.96e-05,0.0014066,-0.0723385,-0.2296083,0.0791771,0.0668826,2.3e-06,2e-07,-0.0633062,0.0005494,0.0492558,2.87e-05,-0.0013139,-0.1217357,-0.7796591,-0.0372205,0.1181217,7.5e-06,7e-07,-0.2104205,0.0002013,0.0029344,-0.9030379,-14.932143,-0.1992681,-0.0194501,-80.6912887,1.0701974,-0.1319578,-0.0131958,0.0002194,-1.2969107,0.0274939,-4.9e-06,0.0009521,0.0063197,-0.0290167,0.0151848,-0.0102708,4.4e-06,4e-07,0.0061726,0.0012705,-0.010814
12,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_012,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_012\BRGlider.vsp3,[],[],254.0374522000202,254.03641249996144,0.2681222999817692,253.5593437999487,0.000875100027769804,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_012\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561791,6.0669062,0.0245028,0.000774,32.0044114,-0.1190896,0.0514924,0.0051492,-1.03e-05,0.1521288,0.0004889,0.0122681,0.0621526,-0.0005059,-0.0181842,-1.9504437,-0.0007904,0.0006071,6.07e-05,0.0001103,-0.0013925,5.29e-05,7.96e-05,0.0013743,-0.072385,-0.2296088,0.0791317,0.0669137,2.3e-06,2e-07,-0.0633086,0.0005467,0.0492523,2.87e-05,-0.001371,-0.1218816,-0.7796593,-0.0372646,0.1181531,7.4e-06,7e-07,-0.210425,0.0001984,0.0029253,-0.9030386,-14.9322881,-0.1996081,-0.0194459,-80.6958717,1.0735905,-0.1319583,-0.0131958,0.000348,-1.2971744,0.0275447,-4.9e-06,0.000959,0.0063222,-0.0290163,0.0151964,-0.0102783,4.5e-06,4e-07,0.006173,0.001271,-0.0108136
15,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_015,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_015\BRGlider.vsp3,[],[],295.14218809996964,295.14099750004243,0.2925762999802828,294.6358610999887,0.0008103000000119209,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.BRGlider\wake_iter_015\BRGlider.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.3561787,6.0674892,0.0246736,0.0007746,32.0054652,-0.1192724,0.0514936,0.0051494,-9.5e-06,0.1522351,0.0004935,0.0122681,0.062123,-0.0005101,-0.0181843,-1.9505363,-0.0007923,0.0006071,6.07e-05,0.0001102,-0.0013967,5.29e-05,7.96e-05,0.0013811,-0.0723783,-0.2296088,0.0791395,0.0669157,2.3e-06,2e-07,-0.0633077,0.0005478,0.0492532,2.87e-05,-0.0013572,-0.1218574,-0.7796587,-0.0372631,0.118134,7.4e-06,7e-07,-0.2104239,0.0002007,0.0029268,-0.9030374,-14.9340146,-0.2001572,-0.0194451,-80.701213,1.0748913,-0.1319616,-0.0131962,0.0003624,-1.2974728,0.0275386,-4.9e-06,0.000959,0.0063261,-0.0290161,0.0151951,-0.0102796,4.5e-06,4e-07,0.0061729,0.0012709,-0.0108137
