coefficient,wake_iter,value,reference_wake_iter,reference_value,difference_from_reference,relative_difference_from_reference
CL_Base,5,0.5346965,50,0.5345718,0.0001246999999999776,0.00023327081600633926
CL_Base,6,0.5345884,50,0.5345718,1.6599999999922233e-05,3.105289130463341e-05
CL_Base,7,0.5345463,50,0.5345718,-2.5500000000011624e-05,-4.770173061880859e-05
CL_Base,9,0.5345641,50,0.5345718,-7.700000000054885e-06,-1.4404051990873601e-05
CL_Base,12,0.5344976,50,0.5345718,-7.420000000002425e-05,-0.0001388026828202016
CL_Base,17,0.5345167,50,0.5345718,-5.5100000000085636e-05,-0.00010307315125879373
CL_Base,21,0.5345342,50,0.5345718,-3.760000000008201e-05,-7.03366694615803e-05
CL_Base,25,0.5345677,50,0.5345718,-4.100000000062387e-06,-7.66969002117655e-06
CL_Base,29,0.5345917,50,0.5345718,1.9899999999961615e-05,3.722605644360891e-05
CL_Base,32,0.5345922,50,0.5345718,2.0399999999920482e-05,3.816138449488073e-05
CL_Base,38,0.53459,50,0.5345718,1.819999999996824e-05,3.4045941069035514e-05
CL_Base,40,0.5345635,50,0.5345718,-8.300000000072139e-06,-1.552644565252439e-05
CL_Base,50,0.5345718,50,0.5345718,0.0,0.0
CMm_Alpha,5,-0.8353499,50,-0.9614836,0.12613370000000002,-0.13118653297882565
CMm_Alpha,6,-1.0306887,50,-0.9614836,-0.06920510000000002,0.07197741074314738
CMm_Alpha,7,-0.9974345,50,-0.9614836,-0.03595090000000001,0.03739106938485483
CMm_Alpha,9,-1.0015668,50,-0.9614836,-0.040083199999999986,0.041688906602255084
CMm_Alpha,12,-1.0875636,50,-0.9614836,-0.12607999999999997,0.1311306817921803
CMm_Alpha,17,-1.090728,50,-0.9614836,-0.12924439999999993,0.1344218455728209
CMm_Alpha,21,-1.0705964,50,-0.9614836,-0.1091127999999999,0.11348378693094703
CMm_Alpha,25,-1.020649,50,-0.9614836,-0.059165399999999924,0.06153552697102678
CMm_Alpha,29,-0.988361,50,-0.9614836,-0.02687740000000005,0.027954090948613217
CMm_Alpha,32,-0.974114,50,-0.9614836,-0.012630400000000042,0.013136365508470495
CMm_Alpha,38,-1.0004996,50,-0.9614836,-0.03901599999999994,0.04057895527287199
CMm_Alpha,40,-1.042268,50,-0.9614836,-0.08078439999999998,0.08402056987763491
CMm_Alpha,50,-0.9614836,50,-0.9614836,0.0,-0.0
CMm_q,5,-23.5137743,50,-24.3466836,0.8329092999999972,-0.034210380094642424
CMm_q,6,-24.3851521,50,-24.3466836,-0.03846850000000046,0.0015800303906689148
CMm_q,7,-24.274052,50,-24.3466836,0.07263159999999758,-0.0029832235549320392
CMm_q,9,-24.373786,50,-24.3466836,-0.027102400000000415,0.0011131865204015061
