wake_iter,passed,case_dir,vsp3_path,errors,warnings,elapsed_s,total_elapsed_s,compute_geometry_elapsed_s,vspaero_sweep_elapsed_s,result_extraction_elapsed_s,stab_path,Sref,Cref,Bref,Vinf,rho,AoA_deg,Beta_deg,control_groups,CL_Base,CL_Alpha,CL_Beta,CL_p,CL_q,CL_r,CL_Mach,CL_U,CL_ConGrp_1,CL_ConGrp_2,CL_ConGrp_3,CD_Base,CD_Alpha,CD_Beta,CD_p,CD_q,CD_r,CD_Mach,CD_U,CD_ConGrp_1,CD_ConGrp_2,CD_ConGrp_3,CS_Base,CS_Alpha,CS_Beta,CS_p,CS_q,CS_r,CS_Mach,CS_U,CS_ConGrp_1,CS_ConGrp_2,CS_ConGrp_3,CMl_Base,CMl_Alpha,CMl_Beta,CMl_p,CMl_q,CMl_r,CMl_Mach,CMl_U,CMl_ConGrp_1,CMl_ConGrp_2,CMl_ConGrp_3,CMm_Base,CMm_Alpha,CMm_Beta,CMm_p,CMm_q,CMm_r,CMm_Mach,CMm_U,CMm_ConGrp_1,CMm_ConGrp_2,CMm_ConGrp_3,CMn_Base,CMn_Alpha,CMn_Beta,CMn_p,CMn_q,CMn_r,CMn_Mach,CMn_U,CMn_ConGrp_1,CMn_ConGrp_2,CMn_ConGrp_3
4,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_004,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_004\G103A.vsp3,[],[],145.1743148000096,145.17289349995553,0.24599419999867678,144.73551109997788,0.0008160000434145331,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_004\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5349229,4.8576172,-0.6962025,-0.0248403,8.7553977,-0.0732382,0.0682732,0.0068273,-0.0392917,0.2910927,-0.0389135,0.0150022,0.1382047,-0.0106373,-0.0031381,-0.6120519,-0.0006046,0.0018625,0.0001863,-0.0003551,0.0068187,-0.0003043,0.0001847,-0.0020206,-0.1839541,-0.1743626,0.0136061,0.1475892,0.000147,1.47e-05,-0.053423,0.002764,0.1407065,0.0002635,0.0972661,0.0478841,-0.6597866,-0.100347,0.1207932,0.0002244,2.24e-05,-0.3643803,0.0089217,0.0173324,-0.058681,-2.3078064,-1.0989543,-0.0307145,-21.6959821,0.0943906,-0.0070566,-0.0007057,-0.0459087,-1.5566204,-0.0862298,2.5e-06,-0.00036,0.0334415,-0.067111,-0.0078393,-0.0350849,-4.83e-05,-4.8e-06,0.001475,-0.0006552,-0.0381929
5,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_005,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_005\G103A.vsp3,[],[],187.79849560000002,187.79727169999387,0.21409359999233857,187.32964380001067,0.0013026999949943274,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_005\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5346965,5.5421174,-0.1193093,-0.0136325,8.7073424,-0.0273829,0.0695189,0.0069519,-0.0339695,0.2963889,-0.0252915,0.0149964,0.1470645,-0.0050712,-0.0032117,-0.6065881,-0.0007587,0.001868,0.0001868,-0.0006382,0.0065487,-0.0003159,0.0001798,0.0724406,-0.1123936,-0.1703575,0.090409,0.146043,0.0004121,4.12e-05,-0.0498204,0.0064428,0.1417713,0.0002728,0.0075388,-0.0766888,-0.6649289,0.0116319,0.122782,7.64e-05,7.6e-06,-0.3714512,0.001924,0.0090159,-0.0584052,-0.8353499,0.6235813,0.0189533,-23.5137743,0.0668434,-0.0040623,-0.0004062,0.0030399,-1.50781,0.0266482,3.8e-06,-0.0190395,0.0094573,-0.0681698,-0.0230062,-0.0346256,-7.42e-05,-7.4e-06,0.0005528,-0.0015437,-0.0385657
6,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_006,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_006\G103A.vsp3,[],[],218.7823400000052,218.78107189998263,0.2578477000060957,218.25855080000474,0.0008107999747153372,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_006\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345884,5.6638019,-0.0630941,-0.0008915,9.0209566,-0.0054615,0.0688532,0.0068853,-0.0069647,0.3235295,-0.0077974,0.0149936,0.1492742,-0.0013869,-0.0028118,-0.6183725,-0.0012729,0.0018582,0.0001858,-0.000201,0.0072148,4.8e-05,0.0001907,0.0029533,-0.1788354,-0.1744938,0.009687,0.1450346,1.99e-05,2e-06,-0.055612,0.0003302,0.1412012,0.0002734,0.0028597,-0.0573203,-0.6651695,0.0054454,0.1246677,7.26e-05,7.3e-06,-0.3721403,0.0010171,0.0082209,-0.0582945,-1.0306887,-0.1523069,-0.0027025,-24.3851521,0.0463251,-0.0065277,-0.0006528,-0.0069842,-1.5181607,0.0280626,-0.0,0.0029832,0.0323078,-0.0671162,0.0011584,-0.0343714,1.49e-05,1.5e-06,0.0020354,1.92e-05,-0.0385727
7,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_007,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_007\G103A.vsp3,[],[],253.38495469998452,253.38360539998394,0.23957589999190532,252.92195819999324,0.0010378999868407845,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_007\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345463,5.7202008,0.0152045,0.0030865,9.5502731,0.0148727,0.0690245,0.0069024,0.0027735,0.3322626,0.004125,0.0149898,0.1530771,-0.0006053,-0.0027583,-0.6344025,-0.0003845,0.0018663,0.0001866,0.0003499,0.0075351,0.0003395,0.0001996,-0.0397616,-0.2163288,-0.1770588,-0.0037979,0.1507674,1.1e-05,1.1e-06,-0.0602217,-0.0044494,0.1417057,0.0002763,-0.0088473,-0.0703146,-0.6662273,-0.0191013,0.1230773,2.45e-05,2.5e-06,-0.3744481,-0.0010943,0.0065499,-0.0582117,-0.9974345,-0.0104492,-0.0023323,-24.274052,0.0418329,-0.0052966,-0.0005297,0.0090578,-1.50172,0.0310401,-1.6e-06,0.0115968,0.0399284,-0.0664487,0.0035659,-0.035757,1.18e-05,1.2e-06,0.0032523,0.0013526,-0.0382965
8,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_008,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_008\G103A.vsp3,[],[],271.1322865000111,271.13077960000373,0.23642530001234263,270.7006047000177,0.0009380999836139381,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_008\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.534557,5.7168334,-0.0252523,0.0009406,9.4820378,0.0096182,0.0682036,0.0068204,0.0007495,0.3313133,0.0083356,0.014986,0.1518508,-0.0001981,-0.0027487,-0.6181017,0.0005036,0.0018576,0.0001858,0.0001731,0.0073342,0.0002668,0.0001899,0.0089087,-0.1745643,-0.1729813,0.0082994,0.14959,3.77e-05,3.8e-06,-0.0561588,-0.0004581,0.1406664,0.000275,-0.0030464,-0.0627368,-0.6651536,0.0026595,0.1229021,0.0001152,1.15e-05,-0.3736965,-0.0001238,0.0071606,-0.0581291,-1.1192131,-0.1054652,-0.0094648,-24.5811468,0.0060518,-0.0071658,-0.0007166,-0.0040423,-1.5143406,-0.0041261,1.4e-06,-0.0037864,0.0276641,-0.0676004,-0.0015144,-0.035172,-1e-06,-1e-07,0.002066,0.0001148,-0.0381052
9,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_009,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_009\G103A.vsp3,[],[],320.4315990000032,320.4296653000056,0.2273494000255596,319.98902750000707,0.0008355000172741711,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_009\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345641,5.7157635,-0.010603,-8.8e-06,9.378738,0.0019705,0.0685196,0.006852,-0.0009376,0.3289295,0.0047165,0.0149857,0.150628,-0.0007321,-0.0028505,-0.595052,0.0003592,0.0018565,0.0001856,-0.0002161,0.0072798,0.0002886,0.0001848,-0.0055551,-0.1710557,-0.1712341,-0.022191,0.1402417,4.75e-05,4.8e-06,-0.0550417,0.0007942,0.1366577,0.0002748,-0.0055382,-0.0626587,-0.6657794,-0.001883,0.1233863,8.61e-05,8.6e-06,-0.3737057,-1.51e-05,0.0068856,-0.0580849,-1.0015668,0.0236268,-0.0002968,-24.373786,0.0042874,-0.0063058,-0.0006306,0.0027184,-1.507733,0.0035395,2.3e-06,0.0002118,0.02577,-0.0681427,0.006675,-0.0325241,-2.1e-06,-2e-07,0.0017134,-0.0001921,-0.0369291
10,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_010,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_010\G103A.vsp3,[],[],339.85837589995936,339.8572672000155,0.2414048999780789,339.42966720002005,0.0013066999963484704,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_010\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345479,5.7172374,-0.0112271,0.0009768,9.1865461,-0.0056474,0.0685868,0.0068587,-0.0006372,0.3298026,-0.0004223,0.0149886,0.1521049,-0.0009642,-0.0029577,-0.5975254,0.0001353,0.0018503,0.000185,0.0001065,0.0073315,0.0004445,0.0001831,0.0221262,-0.1708539,-0.1705001,0.0257053,0.1461844,7.51e-05,7.5e-06,-0.0535267,0.0021367,0.1419587,0.0002744,0.0004979,-0.0604742,-0.6652572,0.0060498,0.1238192,8.42e-05,8.4e-06,-0.3732662,0.0001575,0.0072478,-0.0580469,-0.9851976,-0.0013437,0.0002211,-24.2238376,0.0435204,-0.0062106,-0.0006211,0.0031836,-1.5069571,0.0296312,3e-06,-0.00593,0.0266749,-0.0683846,-0.0052712,-0.03433,-1.15e-05,-1.2e-06,0.0012848,-0.0005697,-0.0383336
11,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_011,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_011\G103A.vsp3,[],[],368.4762264000019,368.47446900000796,0.24302940000779927,368.0343275000341,0.0008892000187188387,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_011\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345112,5.7238346,0.0257384,-3.71e-05,9.1964459,-0.0051227,0.0685983,0.0068598,0.0013095,0.3308165,-0.0034898,0.0149901,0.1505566,-0.0004169,-0.0029041,-0.6167876,-0.0009465,0.0018528,0.0001853,-1.8e-05,0.0072674,4.21e-05,0.0001864,0.0120331,-0.1862121,-0.170823,0.0143947,0.1525262,5.3e-05,5.3e-06,-0.0544022,0.0010293,0.1463584,0.0002753,-0.0023592,-0.0666763,-0.6652472,0.0008216,0.1238615,7.64e-05,7.6e-06,-0.3737433,-0.0001196,0.0074801,-0.0579988,-1.0158569,0.0033538,-0.0028196,-24.2143665,0.0709839,-0.0060924,-0.0006092,0.0014186,-1.5093157,0.0472775,2.1e-06,-0.0021734,0.0315324,-0.0680646,-0.0034564,-0.0361187,-5.1e-06,-5e-07,0.0016652,-0.0002314,-0.0395302
12,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_012,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_012\G103A.vsp3,[],[],426.20878919999814,426.20739259998663,0.24880850000772625,425.7461461999919,0.0008308999822475016,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_012\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5344976,5.7370662,0.0209298,0.0001052,9.4296289,0.0113471,0.06863,0.006863,0.0018035,0.331722,0.0059316,0.0149879,0.1508352,0.0001746,-0.0028198,-0.6281535,-0.0001272,0.0018506,0.0001851,0.0001027,0.007351,3.11e-05,0.000189,0.002359,-0.1949351,-0.1713746,0.0028333,0.1530946,4.08e-05,4.1e-06,-0.0552586,0.0002771,0.1460834,0.0002747,-0.0011057,-0.0626452,-0.6651737,0.0021804,0.1240177,8.13e-05,8.1e-06,-0.3734067,-4.41e-05,0.0075602,-0.0579849,-1.0875636,-0.0364623,-0.0039067,-24.451753,0.0223448,-0.006255,-0.0006255,-0.0073584,-1.5175926,0.0050483,1.6e-06,-0.0007647,0.0324224,-0.0680638,-0.000853,-0.0362918,-3.7e-06,-4e-07,0.0017997,-6.37e-05,-0.0394841
13,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_013,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_013\G103A.vsp3,[],[],444.3931188000133,444.3912845000159,0.23788709996733814,443.95550409995485,0.0012452999944798648,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_013\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.534517,5.7261506,0.0007435,0.0007073,9.5489506,0.0209756,0.0686136,0.0068614,0.0005735,0.3309442,0.0103783,0.0149858,0.1509427,-0.0007536,-0.0028224,-0.6100568,0.0005506,0.0018511,0.0001851,0.0001808,0.007301,0.0003038,0.0001903,-0.0087163,-0.2044162,-0.1718289,0.0057197,0.1510576,1.99e-05,2e-06,-0.0566766,-0.0009727,0.1412467,0.0002751,-0.0025691,-0.0628121,-0.6656521,-0.0009746,0.1243834,7.65e-05,7.6e-06,-0.3735597,-9.36e-05,0.0070309,-0.0580131,-1.0154128,-0.0018002,-0.0004632,-24.4130276,-0.0265808,-0.0062292,-0.0006229,-0.0007763,-1.5124941,-0.0201437,1.4e-06,0.0020405,0.0349805,-0.0680206,-0.0022584,-0.0354241,2.6e-06,3e-07,0.002098,0.0002855,-0.0380971
