wake_iter,passed,case_dir,vsp3_path,errors,warnings,elapsed_s,total_elapsed_s,compute_geometry_elapsed_s,vspaero_sweep_elapsed_s,result_extraction_elapsed_s,stab_path,Sref,Cref,Bref,Vinf,rho,AoA_deg,Beta_deg,control_groups,CL_Base,CL_Alpha,CL_Beta,CL_p,CL_q,CL_r,CL_Mach,CL_U,CL_ConGrp_1,CL_ConGrp_2,CL_ConGrp_3,CD_Base,CD_Alpha,CD_Beta,CD_p,CD_q,CD_r,CD_Mach,CD_U,CD_ConGrp_1,CD_ConGrp_2,CD_ConGrp_3,CS_Base,CS_Alpha,CS_Beta,CS_p,CS_q,CS_r,CS_Mach,CS_U,CS_ConGrp_1,CS_ConGrp_2,CS_ConGrp_3,CMl_Base,CMl_Alpha,CMl_Beta,CMl_p,CMl_q,CMl_r,CMl_Mach,CMl_U,CMl_ConGrp_1,CMl_ConGrp_2,CMl_ConGrp_3,CMm_Base,CMm_Alpha,CMm_Beta,CMm_p,CMm_q,CMm_r,CMm_Mach,CMm_U,CMm_ConGrp_1,CMm_ConGrp_2,CMm_ConGrp_3,CMn_Base,CMn_Alpha,CMn_Beta,CMn_p,CMn_q,CMn_r,CMn_Mach,CMn_U,CMn_ConGrp_1,CMn_ConGrp_2,CMn_ConGrp_3
3,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_003,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_003\G103A.vsp3,[],[],117.87611269997433,117.87461619998794,0.21908260002965108,117.46123209997313,0.001204199972562492,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_003\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5347827,3.7887131,-2.0430246,-0.1122975,11.2791913,0.0018411,0.0686954,0.0068695,-0.1823993,0.1474027,-0.1547005,0.0149887,0.1244783,-0.0305875,0.0029775,-0.4633172,0.0072636,0.001855,0.0001855,-0.0026679,0.0044112,-0.0023154,0.0002234,-0.2859452,-0.4688133,-0.1954156,-0.3076153,0.1481002,-0.0003105,-3.11e-05,-0.0837044,-0.0274758,0.1207617,0.0002471,0.1748444,0.1159974,-0.6594951,-0.08821,0.1233708,0.0002284,2.28e-05,-0.3570541,0.0163252,0.0239204,-0.0591075,0.6250951,2.3025986,0.1800021,-20.2591636,0.1435115,0.0011025,0.0001102,0.2804202,-1.2292859,0.1868566,-9.2e-06,0.0769432,0.1081208,-0.0620706,0.0689615,-0.0357334,0.0001215,1.21e-05,0.0098684,0.0077351,-0.0328546
4,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_004,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_004\G103A.vsp3,[],[],145.1743148000096,145.17289349995553,0.24599419999867678,144.73551109997788,0.0008160000434145331,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_004\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5349229,4.8576172,-0.6962025,-0.0248403,8.7553977,-0.0732382,0.0682732,0.0068273,-0.0392917,0.2910927,-0.0389135,0.0150022,0.1382047,-0.0106373,-0.0031381,-0.6120519,-0.0006046,0.0018625,0.0001863,-0.0003551,0.0068187,-0.0003043,0.0001847,-0.0020206,-0.1839541,-0.1743626,0.0136061,0.1475892,0.000147,1.47e-05,-0.053423,0.002764,0.1407065,0.0002635,0.0972661,0.0478841,-0.6597866,-0.100347,0.1207932,0.0002244,2.24e-05,-0.3643803,0.0089217,0.0173324,-0.058681,-2.3078064,-1.0989543,-0.0307145,-21.6959821,0.0943906,-0.0070566,-0.0007057,-0.0459087,-1.5566204,-0.0862298,2.5e-06,-0.00036,0.0334415,-0.067111,-0.0078393,-0.0350849,-4.83e-05,-4.8e-06,0.001475,-0.0006552,-0.0381929
8,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_008,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_008\G103A.vsp3,[],[],271.1322865000111,271.13077960000373,0.23642530001234263,270.7006047000177,0.0009380999836139381,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_008\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.534557,5.7168334,-0.0252523,0.0009406,9.4820378,0.0096182,0.0682036,0.0068204,0.0007495,0.3313133,0.0083356,0.014986,0.1518508,-0.0001981,-0.0027487,-0.6181017,0.0005036,0.0018576,0.0001858,0.0001731,0.0073342,0.0002668,0.0001899,0.0089087,-0.1745643,-0.1729813,0.0082994,0.14959,3.77e-05,3.8e-06,-0.0561588,-0.0004581,0.1406664,0.000275,-0.0030464,-0.0627368,-0.6651536,0.0026595,0.1229021,0.0001152,1.15e-05,-0.3736965,-0.0001238,0.0071606,-0.0581291,-1.1192131,-0.1054652,-0.0094648,-24.5811468,0.0060518,-0.0071658,-0.0007166,-0.0040423,-1.5143406,-0.0041261,1.4e-06,-0.0037864,0.0276641,-0.0676004,-0.0015144,-0.035172,-1e-06,-1e-07,0.002066,0.0001148,-0.0381052
10,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_010,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_010\G103A.vsp3,[],[],339.85837589995936,339.8572672000155,0.2414048999780789,339.42966720002005,0.0013066999963484704,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_010\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345479,5.7172374,-0.0112271,0.0009768,9.1865461,-0.0056474,0.0685868,0.0068587,-0.0006372,0.3298026,-0.0004223,0.0149886,0.1521049,-0.0009642,-0.0029577,-0.5975254,0.0001353,0.0018503,0.000185,0.0001065,0.0073315,0.0004445,0.0001831,0.0221262,-0.1708539,-0.1705001,0.0257053,0.1461844,7.51e-05,7.5e-06,-0.0535267,0.0021367,0.1419587,0.0002744,0.0004979,-0.0604742,-0.6652572,0.0060498,0.1238192,8.42e-05,8.4e-06,-0.3732662,0.0001575,0.0072478,-0.0580469,-0.9851976,-0.0013437,0.0002211,-24.2238376,0.0435204,-0.0062106,-0.0006211,0.0031836,-1.5069571,0.0296312,3e-06,-0.00593,0.0266749,-0.0683846,-0.0052712,-0.03433,-1.15e-05,-1.2e-06,0.0012848,-0.0005697,-0.0383336
11,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_011,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_011\G103A.vsp3,[],[],368.4762264000019,368.47446900000796,0.24302940000779927,368.0343275000341,0.0008892000187188387,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_011\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345112,5.7238346,0.0257384,-3.71e-05,9.1964459,-0.0051227,0.0685983,0.0068598,0.0013095,0.3308165,-0.0034898,0.0149901,0.1505566,-0.0004169,-0.0029041,-0.6167876,-0.0009465,0.0018528,0.0001853,-1.8e-05,0.0072674,4.21e-05,0.0001864,0.0120331,-0.1862121,-0.170823,0.0143947,0.1525262,5.3e-05,5.3e-06,-0.0544022,0.0010293,0.1463584,0.0002753,-0.0023592,-0.0666763,-0.6652472,0.0008216,0.1238615,7.64e-05,7.6e-06,-0.3737433,-0.0001196,0.0074801,-0.0579988,-1.0158569,0.0033538,-0.0028196,-24.2143665,0.0709839,-0.0060924,-0.0006092,0.0014186,-1.5093157,0.0472775,2.1e-06,-0.0021734,0.0315324,-0.0680646,-0.0034564,-0.0361187,-5.1e-06,-5e-07,0.0016652,-0.0002314,-0.0395302
13,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_013,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_013\G103A.vsp3,[],[],444.3931188000133,444.3912845000159,0.23788709996733814,443.95550409995485,0.0012452999944798648,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_013\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.534517,5.7261506,0.0007435,0.0007073,9.5489506,0.0209756,0.0686136,0.0068614,0.0005735,0.3309442,0.0103783,0.0149858,0.1509427,-0.0007536,-0.0028224,-0.6100568,0.0005506,0.0018511,0.0001851,0.0001808,0.007301,0.0003038,0.0001903,-0.0087163,-0.2044162,-0.1718289,0.0057197,0.1510576,1.99e-05,2e-06,-0.0566766,-0.0009727,0.1412467,0.0002751,-0.0025691,-0.0628121,-0.6656521,-0.0009746,0.1243834,7.65e-05,7.6e-06,-0.3735597,-9.36e-05,0.0070309,-0.0580131,-1.0154128,-0.0018002,-0.0004632,-24.4130276,-0.0265808,-0.0062292,-0.0006229,-0.0007763,-1.5124941,-0.0201437,1.4e-06,0.0020405,0.0349805,-0.0680206,-0.0022584,-0.0354241,2.6e-06,3e-07,0.002098,0.0002855,-0.0380971
14,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_014,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_014\G103A.vsp3,[],[],475.23896750004496,475.2378486000234,0.261419799993746,474.7851315999869,0.0008402999956160784,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_014\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345513,5.713676,-0.0066508,0.001591,9.3046974,0.0003735,0.0685585,0.0068559,0.0008009,0.329632,0.0033349,0.0149865,0.1506159,-0.0003367,-0.00281,-0.5950394,0.0003461,0.0018533,0.0001853,0.0001693,0.0073077,0.0003715,0.0001891,0.0024376,-0.1981928,-0.1713091,0.2643111,0.1459229,0.0001517,1.52e-05,-0.0554082,-0.0001786,0.1400053,0.0002753,-0.0018634,-0.0624831,-0.6655805,0.0060321,0.1235741,7.9e-05,7.9e-06,-0.3735265,-4.63e-05,0.0069005,-0.0580341,-0.968832,0.0426538,0.0032054,-24.2516027,0.0250981,-0.0061023,-0.0006102,0.008808,-1.5049592,0.023879,1.7e-06,-0.0007529,0.0328002,-0.0680297,-0.0746665,-0.0340175,-3.41e-05,-3.4e-06,0.0019237,5.7e-05,-0.0377465
15,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_015,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_015\G103A.vsp3,[],[],500.15370500000427,500.1520090000122,0.2743780000018887,499.66961959999753,0.000998999981675297,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_015\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345486,5.704542,0.0018361,0.0012051,9.1659865,-0.0098959,0.0685474,0.0068547,-0.0002259,0.3292056,-0.0044388,0.0149892,0.150433,-0.0004589,-0.002741,-0.6105243,-0.0009488,0.0018539,0.0001854,0.0001577,0.0072923,8.57e-05,0.00019,0.0085245,-0.1939508,-0.1712506,0.3004254,0.1610335,0.0003638,3.64e-05,-0.0547158,0.0006946,0.1445477,0.0002751,-0.0007599,-0.0609806,-0.6650436,0.0060988,0.1247889,8.89e-05,8.9e-06,-0.3734521,3.02e-05,0.0073481,-0.0580092,-0.964661,-0.0114027,-0.0013414,-24.1637981,0.0746864,-0.0061127,-0.0006113,0.0037956,-1.5071329,0.051271,1.5e-06,-0.0025043,0.0320925,-0.0679656,-0.084177,-0.0383098,-9.36e-05,-9.4e-06,0.0017412,-0.0001562,-0.0390226
16,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_016,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_016\G103A.vsp3,[],[],536.6424690000131,536.641183300002,0.26720549998572096,536.1838251000154,0.0011972999782301486,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_016\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345129,5.7209251,0.0095991,0.0056515,9.342247,0.0079603,0.0685468,0.0068547,0.0007151,0.3307742,0.0003296,0.0149889,0.1499541,-0.000395,-0.0030966,-0.6286129,-0.001259,0.0018519,0.0001852,8.03e-05,0.0072764,-5.82e-05,0.000192,0.0062919,-0.1993084,-0.1717142,0.2190417,0.1654073,0.0003893,3.89e-05,-0.0552931,0.0004633,0.1469249,0.0002752,-0.0003528,-0.061818,-0.6655042,0.0071987,0.1243095,8.46e-05,8.5e-06,-0.3734066,2.17e-05,0.0076449,-0.05797,-1.048912,-0.063623,-0.0081907,-24.3458889,0.0407152,-0.0060869,-0.0006087,-0.0063224,-1.5131715,0.0224514,1e-06,-0.001906,0.0333577,-0.0679854,-0.0600218,-0.0396589,-0.000101,-1.01e-05,0.0018235,-0.0001221,-0.0396725
18,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_018,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_018\G103A.vsp3,[],[],599.3278914999682,599.3265711999848,0.2662413999787532,598.8656660999986,0.0009976999717764556,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity\wake_iter_018\G103A.stab,17.8818531,0.9963859,17.5365529,30.0,0.002377,2.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.5345607,5.7140121,-0.0213425,-0.0025546,9.4270691,0.0084348,0.0685271,0.0068527,-0.0008983,0.3285788,0.0021039,0.0149849,0.1509579,-0.0005029,-0.0026748,-0.5932526,0.000808,0.0018551,0.0001855,0.0001874,0.0072737,0.0002411,0.0001919,-0.0098958,-0.2050793,-0.1717584,0.1492725,0.1641761,0.0004709,4.71e-05,-0.0566457,-0.000808,0.1398901,0.0002754,-0.0009213,-0.06155,-0.6655101,-0.0013709,0.1245434,8.8e-05,8.8e-06,-0.373527,2.51e-05,0.0072275,-0.0580316,-0.9867849,0.0409139,0.0003992,-24.3621691,0.0049855,-0.0060522,-0.0006052,0.0015634,-1.5072509,0.0014577,1e-06,0.0024421,0.0352221,-0.0679897,-0.0421105,-0.0389664,-0.0001236,-1.24e-05,0.0022425,0.000236,-0.0377057
